Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"K. Nishimura, M. A. Kamarudin, D. Hirotani, K. Hamada, Q. Shen, S. Iikubo, T. Minemoto, K. Yoshino, S. Hayase, Nano Energy 2020, 74, 104858.",13.2,,,,,,,,,,(FA0.9EA0.1)0.98EDA0.01SnI3,,,,,,,,,1.42,,,,78,20.3,,,,,,,840
"Y. Zhao, X. Xu, H. Zhang, J. Shi, L. Zhu, H. Wu, D. Li, Y. Luo, Q. Meng, J. Power Sources 2017, 359, 147.",19.3,,,,,,,,,,FA0.6MA0.4PbI3,,,,,,,,,1.51,,,,77.5,23.8,,,,,,,1047
"S. Yuan, Y. Cai, S. Yang, H. Zhao, F. Qian, Y. Han, J. Sun, Z. Liu, S. Liu, Sol. RRL 2019, 3, 1900220.",22,,,,,,,,,,FA0.85MA0.15PbI3,,,,,,,,,1.52,,,,78.6,24.9,,,,,,,1120
"H. Min, M. Kim, S.-U. Lee, H. Kim, G. Kim, K. Choi, J. H. Lee, S. I. Seok, Science 2019, 366, 749.",23.7,,,,,,,,,,α-FAPbI3:MDACl2,,,,,,,,,1.53,,,,77.6,26.7,,,,,,,1144
"Q. Jiang, Y. Zhao, X. Zhang, X. Yang, Y. Chen, Z. Chu, Q. Ye, X. Li, Z. Yin, J. You, Nat. Photonics 2019, 13, 460.",23.3,,,,,,,,,,FA1−xMAxPbI3,,,,,,,,,1.53,,,,78.4,25.2,,,,,,,1180
"T. Niu, J. Lu, M.-C. Tang, D. Barrit, D.-M. Smilgies, Z. Yang, J. Li, Y. Fan, T. Luo, I. McCulloch, A. Amassian, S. Liu, K. Zhao, Energy Environ. Sci. 2018, 11, 3358.",18.6,,,,,,,,,,FAPbI3,,,,,,,,,1.53,,,,73.5,24.1,,,,,,,1050
"D. Yang, R. Yang, K. Wang, C. Wu, X. Zhu, J. Feng, X. Ren, G. Fang, S. Priya, S. Liu, Nat. Commun. 2018, 9, 3239.",21.6,,,,,,,,,,FA0.95Cs0.05PbI3,,,,,,,,,1.53,,,,79.2,24.6,,,,,,,1110
"M. Jeong, I. W. Choi, E. M. Go, Y. Cho, M. Kim, B. Lee, S. Jeong, Y. Jo, H. W. Choi, J. Lee, J.-H. Bae, S. K. Kwak, D. S. Kim, C. Yang, Science 2020, 369, 1615.",24.6,,,,,,,,,,FAPbI3,,,,,,,,,1.54,,,,79.6,26.2,,,,,,,1181
"W. S. Yang, B.-W. Park, E. H. Jung, N. J. Jeon, Y. C. Kim, D. U. Lee, S. S. Shin, J. Seo, E. K. Kim, J. H. Noh, S. I. Seok, Science 2017, 356, 1376.",22.1,,,,,,,,,,(FAPbI3)0.9(MAPbBr3)0.1,,,,,,,,,1.54,,,,80.3,25,,,,,,,1105
"W.-Q. Wu, Z. Yang, P. N. Rudd, Y. Shao, X. Dai, H. Wei, J. Zhao, Y. Fang, Q. Wang, Y. Liu, Y. Deng, X. Xiao, Y. Feng, J. Huang, Sci. Adv. 2019, 5, eaav8925.",21.5,,,,,,,,,,Cs0.05FA0.70MA0.25PbI3-DAP,,,,,,,,,1.55,,,,79.2,23.4,,,,,,,1160
