Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"R. Sun, D. Zhuang, M. Zhao, Q. Gong, M. Scarpulla, Y. Wei, G. Ren, Y. Wu, Sol. Energy Mater. Sol. Cells 2018, 174, 494.",11.2,,,,,,,,,"Cu2ZnSn(Se,S)4",,,,,,,,,,0.98,,,,66.8,39.2,,,,,,,430
"J. Li, J. Huang, K. Li, Y. Zeng, Y. Zhang, K. Sun, C. Yan, C. Xue, C. Chen, T. Chen, M. A. Green, J. Tang, X. Hao, Sol. RRL 2021, 5, 2000693.",11.6,,,,,,,,,Cu2ZnSnSe4,,,,,,,,,,1.02,,,,67.4,39.2,,,,,,,441
"Y. S. Lee, T. Gershon, O. Gunawan, T. K. Todorov, T. Gokmen, Y. Virgus, S. Guha, Adv. Energy Mater. 2015, 5, 1401372.",11.6,,,,,,,,,Cu2ZnSnSe4,,,,,,,,,,1.03,,,,67.3,40.6,,,,,,,423
"H. Tampo, K. M. Kim, S. Kim, H. Shibata, S. Niki, J. Appl. Phys. 2017, 122, 023106.",9.6,,,,,,,,,Cu2ZnSnSe4,,,,,,,,,,1.04,,,,64.5,34.9,,,,,,,425
"S. Giraldo, E. Saucedo, M. Neuschitzer, F. Oliva, M. Placidi, X. Alcobé, V. Izquierdo-Roca, S. Kim, H. Tampo, H. Shibata, A. Pérez-Rodríguez, P. Pistor, Energy Environ. Sci. 2018, 11, 582.",9.4,,,,,,,,,Cu2ZnSnSe4,,,,,,,,,,1.05,,,,63.3,32.5,,,,,,,457
"S. Giraldo, E. Saucedo, M. Neuschitzer, F. Oliva, M. Placidi, X. Alcobé, V. Izquierdo-Roca, S. Kim, H. Tampo, H. Shibata, A. Pérez-Rodríguez, P. Pistor, Energy Environ. Sci. 2018, 11, 582.",9.5,,,,,,,,,Cu2ZnSnSe4,,,,,,,,,,1.06,,,,66.4,31.1,,,,,,,460
"J. Zhou, X. Xu, B. Duan, H. Wu, J. Shi, Y. Luo, D. Li, Q. Meng, Nano Energy 2021, 89, 106405.",13.2,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.06,,,,69,40.1,,,,,,,477
"J. Zhou, X. Xu, B. Duan, H. Wu, J. Shi, Y. Luo, D. Li, Q. Meng, Nano Energy 2021, 89, 106405.",11.5,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.06,,,,68.2,36.7,,,,,,,461
"J. Li, Y. Huang, J. Huang, G. Liang, Y. Zhang, G. Rey, F. Guo, Z. Su, H. Zhu, L. Cai, K. Sun, Y. Sun, F. Liu, S. Chen, X. Hao, Y. Mai, M. A. Green, Adv. Mater. 2020, 32, 2005268.",12.5,,,,,,,,,Cu2ZnSnSe4,,,,,,,,,,1.07,,,,68.2,37.4,,,,,,,491
"Y. Gong, Y. Zhang, E. Jedlicka, R. Giridharagopal, J. A. Clark, W. Yan, C. Niu, R. Qiu, J. Jiang, S. Yu, S. Wu, H. W. Hillhouse, D. S. Ginger, W. Huang, H. Xin, Sci. China Mater. 2021, 64, 52.",12.4,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.08,,,,71.3,33.3,,,,,,,522
"Y. Gong, Y. Zhang, E. Jedlicka, R. Giridharagopal, J. A. Clark, W. Yan, C. Niu, R. Qiu, J. Jiang, S. Yu, S. Wu, H. W. Hillhouse, D. S. Ginger, W. Huang, H. Xin, Sci. China Mater. 2021, 64, 52.",12.2,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.09,,,,68.8,37.2,,,,,,,475
"Y. Gong, R. Qiu, C. Niu, J. Fu, E. Jedlicka, R. Giridharagopal, Q. Zhu, Y. Zhou, W. Yan, S. Yu, J. Jiang, S. Wu, D. S. Ginger, W. Huang, H. Xin, Adv. Funct. Mater. 2021, 31, 2101927.",12.5,,,,,,,,,"(Ag,Cu)2ZnSn(S,Se)4",,,,,,,,,,1.09,,,,72.1,32.1,,,,,,,540
"J. Lee, T. Enkhbat, G. Han, M. H. Sharif, E. Enkhbayar, H. Yoo, J. H. Kim, S. Kim, J. Kim, Nano Energy 2020, 78, 105206.",11.2,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.1,,,,69.3,36.4,,,,,,,445
"Y. Gong, Y. Zhang, E. Jedlicka, R. Giridharagopal, J. A. Clark, W. Yan, C. Niu, R. Qiu, J. Jiang, S. Yu, S. Wu, H. W. Hillhouse, D. S. Ginger, W. Huang, H. Xin, Sci. China Mater. 2021, 64, 52.",11.6,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.11,,,,69.4,32,,,,,,,520
"S. Kim, K. M. Kim, H. Tampo, H. Shibata, S. Niki, Appl. Phys. Express 2016, 9, 102301.",12.3,,,,,,,,,Cu2Zn(Sn0.78Ge0.22)Se4,,,,,,,,,,1.12,,,,72.3,32.3,,,,,,,527
"W. Wang, M. T. Winkler, O. Gunawan, T. Gokmen, T. K. Todorov, Y. Zhu, D. B. Mitzi, Adv. Energy Mater. 2014, 4, 1301465.",12.6,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.13,,,,69.8,35.2,,,,,,,513
"T. K. Todorov, J. Tang, S. Bag, O. Gunawan, T. Gokmen, Y. Zhu, D. B. Mitzi, Adv. Energy Mater. 2013, 3, 34.",11.1,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.13,,,,69.8,34.5,,,,,,,460
"D.-H. Son, S.-H. Kim, S.-Y. Kim, Y.-I. Kim, J.-H. Sim, S.-N. Park, D.-H. Jeon, D.-K. Hwang, S.-J. Sung, J.-K. Kang, K.-J. Yang, D.-H. Kim, J. Mater. Chem. A 2019, 7, 25279.",12.6,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.14,,,,65.9,35.4,,,,,,,541
"K.-J. Yang, S. Kim, S.-Y. Kim, D.-H. Son, J. Lee, Y.-I. Kim, S.-J. Sung, D.-H. Kim, T. Enkhbat, J. Kim, J. Kim, W. Jo, J.-K. Kang, Adv. Funct. Mater. 2021, n/a, 2102238.",11.2,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.16,,,,62.8,33.1,,,,,,,539
"K. Shen, Y. Zhang, X. Wang, C. Ou, F. Guo, H. Zhu, C. Liu, Y. Gao, R. E. I. Schropp, Z. Li, X. Liu, Y. Mai, Adv. Sci. 2020, n/a, 2001013.",7.5,,,,,,,,,Sb2Se3,,,,,,,,,,1.22,,,,62.4,28.9,,,,,,,413
"Z. Li, X. Liang, G. Li, H. Liu, H. Zhang, J. Guo, J. Chen, K. Shen, X. San, W. Yu, R. E. I. Schropp, Y. Mai, Nat. Commun. 2019, 10, 125.",9.2,,,,,,,,,Sb2Se3,,,,,,,,,,1.24,,,,70.6,32.6,,,,,,,400
"Z. Li, X. Liang, G. Li, H. Liu, H. Zhang, J. Guo, J. Chen, K. Shen, X. San, W. Yu, R. E. I. Schropp, Y. Mai, Nat. Commun. 2019, 10, 125.",4.8,,,,,,,,,Sb2Se3,,,,,,,,,,1.27,,,,47.3,27.3,,,,,,,370
"S. Wen, X. Yin, C. Zhang, Y. Guo, J. Liu, E. Wang, C. Zheng, W. Que, H. Liu, W. Liu, Mater. Lett. 2021, 283, 128770.",4,,,,,,,,,Sb2Se3,,,,,,,,,,1.29,,,,51,22.9,,,,,,,340
"K. Li, F. Li, C. Chen, P. Jiang, S. Lu, S. Wang, Y. Lu, G. Tu, J. Guo, L. Shui, Z. Liu, B. Song, J. Tang, Nano Energy 2021, 86, 106101.",7.3,,,,,,,,,Sb2Se3,,,,,,,,,,1.31,,,,59.7,29.2,,,,,,,420
"J. Li, J. Huang, K. Li, Y. Zeng, Y. Zhang, K. Sun, C. Yan, C. Xue, C. Chen, T. Chen, M. A. Green, J. Tang, X. Hao, Sol. RRL 2021, 5, 2000693.",6.4,,,,,,,,,Sb2Se3,,,,,,,,,,1.33,,,,54.7,27.8,,,,,,,421
"L. Choubrac, M. Bär, X. Kozina, R. Félix, R. G. Wilks, G. Brammertz, S. Levcenko, L. Arzel, N. Barreau, S. Harel, M. Meuris, B. Vermang, ACS Appl. Energy Mater. 2020, 3, 5830.",8.5,,,,,,,,,Cu2ZnGeSe4,,,,,,,,,,1.45,,,,55.7,24.4,,,,,,,625
"C. Yan, J. Huang, K. Sun, S. Johnston, Y. Zhang, H. Sun, A. Pu, M. He, F. Liu, K. Eder, L. Yang, J. M. Cairney, N. J. Ekins-Daukes, Z. Hameiri, J. A. Stride, S. Chen, M. A. Green, X. Hao, Nat. Energy 2018, 3, 764.",11,,,,,,,,,Cu2ZnSnS4,,,,,,,,,,1.5,,,,69.3,21.7,,,,,,,731
"R. Tang, X. Wang, W. Lian, J. Huang, Q. Wei, M. Huang, Y. Yin, C. Jiang, S. Yang, G. Xing, S. Chen, C. Zhu, X. Hao, M. A. Green, T. Chen, Nat. Energy 2020, 5, 587.",10,,,,,,,,,"Sb2(S,Se)3",,,,,,,,,,1.5,,,,63.3,24.1,,,,,,,655
"K. Timmo, M. Altosaar, M. Pilvet, V. Mikli, M. Grossberg, M. Danilson, T. Raadik, R. Josepson, J. Krustok, M. Kauk-Kuusik, J. Mater. Chem. A 2019, 7, 24281.",8.73,,,,,,,,,(Cu0.99Ag0.01)1.85(Zn0.8Cd0.2)1.1SnS4,,,,,,,,,,1.52,,,,63.9,20.6,,,,,,,664
"R. Nie, M. Hu, A. M. Risqi, Z. Li, S. I. Seok, Adv. Sci. 2021, 8, 2003172.",4.1,,,,,,,,,SbSeI:Sb2Se3,,,,,,,,,,1.53,,,,58.7,14.8,,,,,,,473
"Y. C. Choi, D. U. Lee, J. H. Noh, E. K. Kim, S. I. Seok, Adv. Funct. Mater. 2014, 24, 3587.",7.5,,,,,,,,,Sb2S3,,,,,,,,,,1.8,,,,65,16.1,,,,,,,711
"M. A. Green, K. Emery, Y. Hishikawa, W. Warta, E. D. Dunlop, Prog. Photovoltaics 2014, 22, 1.",19.8,,,,,,,,,CIGS,,,,,,,,,,1.09,,,,79.2,34.9,,,,,,,716
"M. A. Green, Y. Hishikawa, W. Warta, E. D. Dunlop, D. H. Levi, J. Hohl-Ebinger, A. W. H. Ho-Baillie, Prog. Photovoltaics 2017, 25, 668.",21.7,,,,,,,,,CIGS,,,,,,,,,,1.1,,,,74.3,40.7,,,,,,,718
"M. A. Green, Y. Hishikawa, W. Warta, E. D. Dunlop, D. H. Levi, J. Hohl-Ebinger, A. W. H. Ho-Baillie, Prog. Photovoltaics 2017, 25, 668.",26.7,,,,,,,,,Si (crystalline),,,,,,,,,,1.11,,,,84.9,42.7,,,,,,,738
"M. A. Green, Y. Hishikawa, E. D. Dunlop, D. H. Levi, J. Hohl-Ebinger, A. W. Y. Ho-Baillie, Prog. Photovoltaics 2018, 26, 427.",22.9,,,,,,,,,CIGS,,,,,,,,,,1.13,,,,79.5,38.8,,,,,,,744
"M. A. Green, K. Emery, Y. Hishikawa, W. Warta, E. D. Dunlop, Prog. Photovoltaics 2015, 23, 805.",21,,,,,,,,,CIGS,,,,,,,,,,1.14,,,,77.6,35.7,,,,,,,757
"M. A. Green, E. D. Dunlop, D. H. Levi, J. Hohl-Ebinger, M. Yoshita, A. W. Y. Ho-Baillie, Prog. Photovoltaics 2019, 27, 565.",23.4,,,,,,,,,CIGS,,,,,,,,,,1.15,,,,80.4,39.6,,,,,,,734
"W. Li, S. Xu, Y. Dai, P. Ma, Y. Feng, W. Li, H. Luo, C. Yang, Mater. Lett. 2019, 244, 43.",16.3,,,,,,,,,CIGS,,,,,,,,,,1.3,,,,68.1,31.4,,,,,,,762
"M. A. Green, Y. Hishikawa, E. D. Dunlop, D. H. Levi, J. Hohl-Ebinger, M. Yoshita, A. W. Y. Ho-Baillie, Prog. Photovoltaics Res. Appl. 2019, 27, 3.",29.1,,,,,,,,,GaAs,,,,,,,,,,1.42,,,,86.7,29.8,,,,,,,1127
"M. A. Green, K. Emery, Y. Hishikawa, W. Warta, E. D. Dunlop, Prog. Photovoltaics 2015, 23, 1.",21,,,,,,,,,CdTe,,,,,,,,,,1.42,,,,79.4,30.3,,,,,,,876
"M. A. Green, K. Emery, Y. Hishikawa, W. Warta, E. D. Dunlop, Prog. Photovoltaics 2013, 21, 1.",18.3,,,,,,,,,CdTe,,,,,,,,,,1.48,,,,77,27,,,,,,,857
"S. Shukla, M. Sood, D. Adeleye, S. Peedle, G. Kusch, D. Dahliah, M. Melchiorre, G.-M. Rignanese, G. Hautier, R. Oliver, S. Siebentritt, Joule 2021, 5, 1816.",15.2,,,,,,,,,CIGS,,,,,,,,,,1.6,,,,73,23.1,,,,,,,902
"M. A. Green, K. Emery, Y. Hishikawa, W. Warta, E. D. Dunlop, Prog. Photovoltaics 2015, 23, 1.",10.2,,,,,,,,,Si (amorphous),,,,,,,,,,1.6,,,,69.8,16.4,,,,,,,896
"T. Matsui, A. Bidiville, K. Maejima, H. Sai, T. Koida, T. Suezaki, M. Matsumoto, K. Saito, I. Yoshida, M. Kondo, Appl. Phys. Lett. 2015, 106, 053901.",10.6,,,,,,,,,Si (amorphous),,,,,,,,,,1.69,,,,75.6,16.1,,,,,,,896
"M. A. Green, K. Emery, Y. Hishikawa, W. Warta, Prog. Photovoltaics 2010, 18, 346.",10.1,,,,,,,,,Si (amorphous),,,,,,,,,,1.85,,,,67,16.8,,,,,,,886
"F. Sahli, J. Werner, B. A. Kamino, M. Bräuninger, R. Monnard, B. Paviet-Salomon, L. Barraud, L. Ding, J. J. Diaz Leon, D. Sacchetto, G. Cattaneo, M. Despeisse, M. Boccard, S. Nicolay, Q. Jeangros, B. Niesen, C. Ballif, Nat. Mater. 2018, 17, 820.",24.1,,,,,,,,,,,,,,Si,,,,,,1.63,1.11,,69.1,19.5,,,,,,"CsxFA1−xPb(I,Br)3",1786
"B. Chen, Z. J. Yu, S. Manzoor, S. Wang, W. Weigand, Z. Yu, G. Yang, Z. Ni, X. Dai, Z. C. Holman, J. Huang, Joule 2020, 4, 850.",26,,,,,,,,,,,,,,Si,,,,,,1.66,1.11,,75.4,19.2,,,,,,Cs0.1MA0.9PbI2.7Br0.3,1820
"D. Kim, H. J. Jung, I. J. Park, B. W. Larson, S. P. Dunfield, C. Xiao, J. Kim, J. Tong, P. Boonmongkolras, S. G. Ji, F. Zhang, S. R. Pae, M. Kim, S. B. Kang, V. Dravid, J. J. Berry, J. Y. Kim, K. Zhu, D. H. Kim, B. Shin, Science 2020, 368, 155.",26.7,,,,,,,,,,,,,,Si,,,,,,1.67,1.11,,79.2,19.2,,,,,,PEA(I0.25SCN0.75),1756
"Y. Hou, E. Aydin, M. De Bastiani, C. Xiao, F. H. Isikgor, D.-J. Xue, B. Chen, H. Chen, B. Bahrami, A. H. Chowdhury, A. Johnston, S.-W. Baek, Z. Huang, M. Wei, Y. Dong, J. Troughton, R. Jalmood, A. J. Mirabelli, T. G. Allen, E. Van Kerschaver, M. I. Saidaminov, D. Baran, Q. Qiao, K. Zhu, S. De Wolf, E. H. Sargent, Science 2020, 367, 1135.",25.7,,,,,,,,,,,,,,Si,,,,,,1.68,1.11,,75.4,19.1,,,,,,Cs0.05MA0.15FA0.8PbI2.25Br0.75,1781
"M. De Bastiani, A. J. Mirabelli, Y. Hou, F. Gota, E. Aydin, T. G. Allen, J. Troughton, A. S. Subbiah, F. H. Isikgor, J. Liu, L. Xu, B. Chen, E. Van Kerschaver, D. Baran, B. Fraboni, M. F. Salvador, U. W. Paetzold, E. H. Sargent, S. De Wolf, Nat. Energy 2021, 6, 167.",25.2,,,,,,,,,,,,,,Si,,,,,,1.68,1.11,,75.6,18.4,,,,,, ,1800
"E. Köhnen, M. Jošt, A. B. Morales-Vilches, P. Tockhorn, A. Al-Ashouri, B. Macco, L. Kegelmann, L. Korte, B. Rech, R. Schlatmann, B. Stannowski, S. Albrecht, Sustainable Energy Fuels 2019, 3, 1995.",26,,,,,,,,,,,,,,Si,,,,,,1.64,1.12,,76.5,19.2,,,,,,FA0.83MA0.17PbI3,1760
"M. Jošt, E. Köhnen, A. B. Morales-Vilches, B. Lipovšek, K. Jäger, B. Macco, A. Al-Ashouri, J. Krč, L. Korte, B. Rech, R. Schlatmann, M. Topič, B. Stannowski, S. Albrecht, Energy Environ. Sci. 2018, 11, 3511.",26.5,,,,,,,,,,,,,,Si,,,,,,1.65,1.12,,77,19.4,,,,,,Cs0.05MA0.16FA0.79PbI2.49Br0.51,1760
"A. Al-Ashouri, E. Köhnen, B. Li, A. Magomedov, H. Hempel, P. Caprioglio, J. A. Márquez, A. B. Morales Vilches, E. Kasparavicius, J. A. Smith, N. Phung, D. Menzel, M. Grischek, L. Kegelmann, D. Skroblin, C. Gollwitzer, T. Malinauskas, M. Jošt, G. Matič, B. Rech, R. Schlatmann, M. Topič, L. Korte, A. Abate, B. Stannowski, D. Neher, M. Stolterfoht, T. Unold, V. Getautis, S. Albrecht, Science 2020, 370, 1300.",28.8,,,,,,,,,,,,,,Si,,,,,,1.68,1.12,,78.9,19.2,,,,,,Cs0.05FA0.73MA0.22PbI2.31Br0.69,1895
"G. Nogay, F. Sahli, J. Werner, R. Monnard, M. Boccard, M. Despeisse, F. J. Haug, Q. Jeangros, A. Ingenito, C. Ballif, ACS Energy Lett. 2019, 4, 844.",24.9,,,,,,,,,,,,,,Si,,,,,,1.65,1.13,,73.5,19.5,,,,,,CsFAPb(IBr)3,1735
"J. Xu, C. C. Boyd, Z. J. Yu, A. F. Palmstrom, D. J. Witter, B. W. Larson, R. M. France, J. Werner, S. P. Harvey, E. J. Wolf, W. Weigand, S. Manzoor, M. F. A. M. van Hest, J. J. Berry, J. M. Luther, Z. C. Holman, M. D. McGehee, Science 2020, 367, 1097.",27.1,,,,,,,,,,,,,,Si,,,,,,1.67,1.13,,75.3,19.1,,,,,,CsFAMAPb(IBrCl)3,1886
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, X. Hao, Prog. Photovoltaics Res. Appl. 2021, 29, 657.",29.5,,,,,,,,,,,,,,Si,,,,,,1.69,1.13,,77.3,20.3,,,,,, ,1884
"J. Werner, C.-H. Weng, A. Walter, L. Fesquet, J. P. Seif, S. De Wolf, B. Niesen, C. Ballif, J. Phys. Chem. Lett. 2016, 7, 161.",20.9,,,,,,,,,,,,,,Si,,,,,,1.62,1.15,,77.6,15.9,,,,,,MAPI,1690
"B. Chen, Z. Yu, K. Liu, X. Zheng, Y. Liu, J. Shi, D. Spronk, P. N. Rudd, Z. Holman, J. Huang, Joule 2019, 3, 177.",25.4,,,,,,,,,,,,,,Si,,,,,,1.68,1.15,,79.4,17.8,,,,,,Cs0.15FA0.71MA0.14PbI2.4Br0.6,1800
"K. A. Bush, S. Manzoor, K. Frohna, Z. J. Yu, J. A. Raiford, A. F. Palmstrom, H.-P. Wang, R. Prasanna, S. F. Bent, Z. C. Holman, M. D. McGehee, ACS Energy Lett. 2018, 3, 2173.",25,,,,,,,,,,,,,,Si,,,,,,1.68,1.15,,77,18.4,,,,,,FA0.75Cs0.25PbI2.4Br0.6,1770
"J. Werner, C.-H. Weng, A. Walter, L. Fesquet, J. P. Seif, S. De Wolf, B. Niesen, C. Ballif, J. Phys. Chem. Lett. 2016, 7, 161.",19.2,,,,,,,,,,,,,,Si,,,,,,1.62,1.16,,70.1,16.1,,,,,,MAPI,1701
"Z. Li, T. H. Kim, S. Y. Han, Y.-J. Yun, S. Jeong, B. Jo, S. A. Ok, W. Yim, S. H. Lee, K. Kim, S. Moon, J.-Y. Park, T. K. Ahn, H. Shin, J. Lee, H. J. Park, Adv. Energy Mater. 2020, 10, 1903085.",24.3,,,,,,,,,,,,,,GaAs,,,,,,1.85,1.42,,78.8,14.3,,,,,,FA0.80MA0.04Cs0.16Pb(I0.50Br0.50)3,2160
"Q. Han, Y.-T. Hsieh, L. Meng, J.-L. Wu, P. Sun, E.-P. Yao, S.-Y. Chang, S.-H. Bae, T. Kato, V. Bermudez, Y. Yang, Science 2018, 361, 904.",22.4,,,,,,,,,,,,,,CIGS,,,,,,1.65,1.1,,73.1,17.3,,,,,,Cs0.09FA0.77MA0.14Pb(I0.86Br0.14)3,1774
"M. Jošt, T. Bertram, D. Koushik, J. A. Marquez, M. A. Verheijen, M. D. Heinemann, E. Köhnen, A. Al-Ashouri, S. Braunger, F. Lang, B. Rech, T. Unold, M. Creatore, I. Lauermann, C. A. Kaufmann, R. Schlatmann, S. Albrecht, ACS Energy Lett. 2019, 4, 583.",21.6,,,,,,,,,,,,,,CIGS,,,,,,1.64,1.11,,76,18,,,,,,Cs0.05(MA0.17FA0.83)Pb1.1(I0.83Br0.17)3,1580
"A. Al-Ashouri, A. Magomedov, M. Roß, M. Jošt, M. Talaikis, G. Chistiakova, T. Bertram, J. A. Márquez, E. Köhnen, E. Kasparavičius, S. Levcenco, L. Gil-Escrig, C. J. Hages, R. Schlatmann, B. Rech, T. Malinauskas, T. Unold, C. A. Kaufmann, L. Korte, G. Niaura, V. Getautis, S. Albrecht, Energy Environ. Sci. 2019, 12, 3356.",23.3,,,,,,,,,,,,,,CIGS,,,,,,1.65,1.11,,71.9,19.2,,,,,,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,1680
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, X. Hao, Prog. Photovoltaics 2020, 28, 629.",24.2,,,,,,,,,,,,,,CIGS,,,,,,1.68,1.12,,72.9,19.2,,,,,, ,1768
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, X. Hao, Prog. Photovoltaics Res. Appl. 2021, 29, 657.",26.4,,,,,,,,,,,,,, ,,,,,,1.81,1.26,,77.9,16.5,,,,,, ,2048
"K. Xiao, R. Lin, Q. Han, Y. Hou, Z. Qin, H. T. Nguyen, J. Wen, M. Wei, V. Yeddu, M. I. Saidaminov, Y. Gao, X. Luo, Y. Wang, H. Gao, C. Zhang, J. Xu, J. Zhu, E. H. Sargent, H. Tan, Nat. Energy 2020, 5, 870.",24,,,,,,,,,,,,,,FSA:MA0.3FA0.7Pb0.5Sn0.5I3,,,,,,1.82,1.26,,76.6,15.8,,,,,,FA0.8Cs0.2Pb(I0.6Br0.4)3,1986
"K. Xiao, R. Lin, Q. Han, Y. Hou, Z. Qin, H. T. Nguyen, J. Wen, M. Wei, V. Yeddu, M. I. Saidaminov, Y. Gao, X. Luo, Y. Wang, H. Gao, C. Zhang, J. Xu, J. Zhu, E. H. Sargent, H. Tan, Nat. Energy 2020, 5, 870.",25.5,,,,,,,,,,,,,,FSA:MA0.3FA0.7Pb0.5Sn0.5I3,,,,,,1.82,1.26,,79.8,15.9,,,,,,FA0.8Cs0.2Pb(I0.6Br0.4)3,2009
"J. Tong, Z. Song, D. H. Kim, X. Chen, C. Chen, A. F. Palmstrom, P. F. Ndione, M. O. Reese, S. P. Dunfield, O. G. Reid, J. Liu, F. Zhang, S. P. Harvey, Z. Li, S. T. Christensen, G. Teeter, D. Zhao, M. M. Al-Jassim, M. F. A. M. van Hest, M. C. Beard, S. E. Shaheen, J. J. Berry, Y. Yan, K. Zhu, Science 2019, 364, 475.",22.9,,,,,,,,,,,,,,(FASnI3)0.6(MAPbI3)0.4,,,,,,1.72,1.27,,79.8,15,,,,,,Cs0.05FA0.8MA0.15PbI2.55Br0.45,1915
"Z. Yu, Z. Yang, Z. Ni, Y. Shao, B. Chen, Y. Lin, H. Wei, Z. J. Yu, Z. Holman, J. Huang, Nat. Energy 2020, 5, 657.",24.3,,,,,,,,,,,,,,Cs0.05MA0.45FA0.5Pb0.5Sn0.5I3,,,,,,1.81,1.27,,78.8,15.2,,,,,,Cs0.4FA0.6PbI1.95Br1.05,2030
"R. Lin, K. Xiao, Z. Qin, Q. Han, C. Zhang, M. Wei, M. I. Saidaminov, Y. Gao, J. Xu, M. Xiao, A. Li, J. Zhu, E. H. Sargent, H. Tan, Nat. Energy 2019, 4, 864.",24.5,,,,,,,,,,,,,,FA0.7MA0.3Pb0.5Sn0.5I3,,,,,,1.81,1.27,,80,15.9,,,,,,FA0.8Cs0.2Pb(I0.6Br0.4)3,1927
"A. F. Palmstrom, G. E. Eperon, T. Leijtens, R. Prasanna, S. N. Habisreutinger, W. Nemeth, E. A. Gaulding, S. P. Dunfield, M. Reese, S. Nanayakkara, T. Moot, J. Werner, J. Liu, B. To, S. T. Christensen, M. D. McGehee, M. F. A. M. van Hest, J. M. Luther, J. J. Berry, D. T. Moore, Joule 2019, 3, 2193.",23.1,,,,,,,,,,,,,,FA0.75Cs0.25Sn0.5Pb0.5I3,,,,,,1.73,1.28,,77,16,,,,,,FA0.6Cs0.3DMA0.1PbI2.4Br0.6,1880
"Q. Zeng, L. Liu, Z. Xiao, F. Liu, Y. Hua, Y. Yuan, L. Ding, Sci. Bull. 2019, 64, 885.",15,,,,,,,,,,,,,,PTB7-Th:COi8DFIC:PC71BM,,,,,,1.91,1.25,,73.4,12,,,,,,CsPbI2Br,1710
"P. Wang, W. Li, O. J. Sandberg, C. Guo, R. Sun, H. Wang, D. Li, H. Zhang, S. Cheng, D. Liu, J. Min, A. Armin, T. Wang, Nano Lett. 2021, 21, 7845.",21.1,,,,,,,,,,,,,,PM6:Y6-BO,,,,,,1.91,1.38,,80.9,13.3,,,,,,CsPbI2Br,1960
"Z. Li, S. Wu, J. Zhang, K. C. Lee, H. Lei, F. Lin, Z. Wang, Z. Zhu, A. K. Y. Jen, Adv. Energy Mater. 2020, 10, 2000361.",15.1,,,,,,,,,,,,,,PBDB-T:SN6IC-4F,,,,,,1.83,1.4,,71,11.5,,,,,,Cs0.1(FA0.6MA0.4)0.9Pb(I0.6Br0.4)3,1850
"X. Chen, Z. Jia, Z. Chen, T. Jiang, L. Bai, F. Tao, J. Chen, X. Chen, T. Liu, X. Xu, C. Yang, W. Shen, W. E. I. Sha, H. Zhu, Y. Yang, Joule 2020, 4, 1594.",19.5,,,,,,,,,,,,,,PBDBT-2F:Y6:PC71BM,,,,,,1.82,1.4,,77.2,13.1,,,,,,FA0.8MA0.02Cs0.18PbI1.8Br1.2,1925
"X. Chen, Z. Jia, Z. Chen, T. Jiang, L. Bai, F. Tao, J. Chen, X. Chen, T. Liu, X. Xu, C. Yang, W. Shen, W. E. I. Sha, H. Zhu, Y. Yang, Joule 2020, 4, 1594.",20.4,,,,,,,,,,,,,,PBDBT-2F:Y6:PC71BM,,,,,,1.82,1.4,,81.5,13.1,,,,,,FA0.8MA0.02Cs0.18PbI1.8Br1.2,1902
"M. Hosseinnezhad, J. Electron. Mater. 2019, 48, 5403.",10.5,,,,,,,,,,,,,,(FAPbI3)0.85(MAPbBr3)0.15,,,,,,1.93,1.59,,70,12.9,,,,,,N719,1170
